"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"UWN","Nevada Gold & Casinos, Inc.","2.0485","$36.39M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/uwn",
"NSU","Nevsun Resources Ltd","3.63","$725.42M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nsu",
"GBR","New Concept Energy, Inc","1.04","$2.02M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gbr",
"NEN","New England Realty Associates Limited Partnership","54","$202.63M","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/nen",
"NGD","NEW GOLD INC.","4.48","$2.29B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ngd",
"HLTH","Nobilis Health Corp.","4.22","$323.29M","2015","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hlth",
"NSAT","Norsat International Inc.","5.66","$33.01M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/nsat",
"NAK","Northern Dynasty Minerals, Ltd.","0.4009","$89.06M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nak",
"NOG","Northern Oil and Gas, Inc.","5.5","$347.24M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nog",
"NBY","NovaBay Pharmaceuticals, Inc.","2.7501","$13.76M","2007","n/a","n/a","http://www.nasdaq.com/symbol/nby",
"NCQ","NovaCopper Inc.","0.5801","$60.9M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ncq",
"NG","Novagold Resources Inc.","6.16","$1.97B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ng",
"NTN","NTN Buzztime, Inc.","0.1199","$11.08M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/ntn",
"NVX","Nuveen California Dividend Advantage Municipal Fund 2","15.96","$235.56M","2001","n/a","n/a","http://www.nasdaq.com/symbol/nvx",
"NZH","Nuveen California Dividend Advantage Municipal Fund 3","15.16","$366.14M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nzh",
"NCB","Nuveen California Municipal Value Fund 2","17.35","$57.05M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ncb",
"CFD","Nuveen Diversified Commodity Fund","9.3496","$84.59M","2010","n/a","n/a","http://www.nasdaq.com/symbol/cfd",
"CTF","Nuveen Long/Short Commodity Total Return Fund","14.95","$244.37M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ctf",
"NOM","Nuveen Missouri Premium Income Municipal Fund","16.75","$39.12M","1993","n/a","n/a","http://www.nasdaq.com/symbol/nom",
"NMZ","Nuveen Municipal High Income Opportunity Fund","14.13","$707.7M","2003","n/a","n/a","http://www.nasdaq.com/symbol/nmz",
"NJV","Nuveen New Jersey Municipal Value Fund","15.21","$23.58M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/njv",
"NYV","Nuveen New York Municipal Value Fund 2","15.76","$37.03M","2009","n/a","n/a","http://www.nasdaq.com/symbol/nyv",
